CountryName,CountryCode,Indicator Name,Indicator Code,GDP1990,GDP1995,GDP2000,GDP2005,GDP2011,GDP2017,A1990,A1995,A2000,A2005,A2011,A2017
Middle East & North Africa (excluding high income),MNA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,12.90622659,2.55993854,4.444548287,4.544927944,-0.939013133,2.906722609,49.26775457,48.347628,48.93708652,48.43021634,48.267502,53.85776254
Montenegro,MNE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,3.100000184,4.180601527,3.228419022,4.716489657,28.59908877,27.80047525,26.00124623,25.56279261,26.62922388,20.78181355
Mongolia,MNG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.184460178,6.376426887,1.146062137,7.25366544,17.29077758,5.337037933,37.91553694,36.83717825,39.03252666,39.72640499,45.36017005,40.11284905
Northern Mariana Islands,MNP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,-12.66620014,-7.692307692,25.56818182,11.41490119,11.40998512,12.18124211,11.86877124,12.19962657,9.892981129
Mozambique,MOZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.999992833,2.259757178,1.180300789,6.645908281,7.417384316,3.741317593,23.38285769,22.79658067,22.68627092,22.66323062,22.6090715,21.29869546
Mauritania,MRT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.771304534,9.819800419,-3.918025879,8.566287249,4.172783283,3.497175006,50.06832036,48.41496384,48.86025116,41.87260231,40.04314497,47.42299178
Mauritius,MUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.186736771,4.287736571,8.202791783,1.777543037,4.077538074,3.814152115,15.77292981,15.75657978,15.39803836,15.53724944,15.20170165,14.45782732
Malawi,MWI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.692294494,16.72881759,1.576077837,3.268725828,4.854055109,4.000030517,26.46902936,26.38950545,26.14208568,25.62740602,25.16500891,23.56592147
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.00852714,9.829085197,8.85886817,5.332139161,5.293912834,5.81272241,17.29444937,17.68253178,18.07616946,19.37781101,19.20260869,16.03580871
North America,NAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.708498266,2.68593044,4.198092782,3.64546496,1.703738204,2.447321646,9.554770848,9.421869948,9.404172572,9.501231017,9.630803241,7.31104225
Namibia,NAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.04745994,3.899014187,3.49218322,2.529262596,5.091338117,-0.256271148,28.74978965,27.49759667,27.43381856,27.61976141,27.01015451,25.3587654
New Caledonia,NCL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.600001274,5.940031114,2.100108842,,,,,,,,,
Niger,NER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.308478284,2.457244121,-1.208477743,7.331868841,2.357756936,4.999097165,90.59636837,88.63160196,87.50676266,73.43849329,72.98276678,94.05381768
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11.77688593,-0.072664767,5.015934757,6.438516525,5.307924204,0.80588662,72.12557597,68.71003624,67.5543285,59.65813988,50.97308923,71.79817438
Nicaragua,NIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.052499721,5.911907916,4.101590155,4.282398312,6.316709606,4.630821552,22.60015976,22.34790325,23.0534074,23.02943656,22.47952015,17.61418045
Netherlands,NLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.183222986,3.116035986,4.195642498,2.050876108,1.551189312,2.910902513,16.469403,15.56169523,14.92868009,14.57801781,14.98813864,12.03440807
Norway,NOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.932419827,4.155491334,3.204979222,2.625457626,0.981469497,2.323258407,8.995380402,8.793261258,8.668866155,8.35949071,8.853510781,6.956519803
Nepal,NPL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.635036347,3.468451883,6.199999988,3.479181046,3.421828241,8.223499483,87.59845477,90.68716449,88.9430217,93.21824756,100.7660607,99.73437372
Nauru,NRU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,0,10,-5.747126437,,,,,,
New Zealand,NZL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.153114606,4.722050291,2.905068362,3.32040851,2.358784916,3.163097542,7.143831418,7.204397399,7.162288498,7.037087279,7.420696435,5.956001129
OECD members,OED,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.085102509,2.706587722,3.993169341,2.83577681,1.85414959,2.57055685,17.34899073,16.95833785,17.02915758,17.04547753,17.27385692,14.53098291
Oman,OMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.13042574,4.996819663,6.551066393,2.490221492,2.658868673,0.346322041,40.18764563,39.60269064,39.85528916,39.65527175,39.10379482,41.11523827
Other small states,OSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,5.80651313,7.529352479,1.05889099,29.32746409,29.46675995,29.67261655,29.6189463,32.46158413,34.75442835
Pakistan,PAK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.458586815,4.962609149,4.260088011,6.518778074,2.748405917,5.554277437,60.33465901,61.43286665,61.10602749,63.37843689,68.54493561,58.28241877
Panama,PAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.098993006,1.751678757,2.715374155,7.191279402,11.31373175,5.599006763,13.12754571,13.20617049,14.38301431,14.11531568,14.29603899,11.40005433
Peru,PER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.982563536,7.411395047,2.694371398,6.285060325,6.327192402,2.518835442,28.52093796,29.50529745,30.27366253,32.29922942,31.57116569,24.78672805
Philippines,PHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.036966294,4.678692219,4.411222159,4.942505119,3.858232828,6.930988326,22.116036,21.97021787,22.20389703,22.81857109,22.75483447,18.06979891
Palau,PLW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,3.959868893,6.683682862,-1.916360453,,,,,,
Papua New Guinea,PNG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.01216922,-3.312448778,-2.494841993,6.344795923,1.107543597,3.534610884,15.12629938,14.63744926,14.75156315,14.52423915,15.51903383,12.29441826
Poland,POL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.102865538,4.561025468,3.506847453,4.757638004,4.83065457,30.19942899,27.89182803,25.82218582,26.15121823,26.37250707,20.87782222
Pre-demographic dividend,PRE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.83701516,3.234614115,2.930982391,6.672095893,4.591443734,1.388666702,49.08259455,48.11181502,47.56304651,44.37522878,42.38233994,48.63557258
Puerto Rico,PRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.840540726,4.548988106,3.271964529,-1.986938733,-0.358510628,-2.885954759,8.23819126,8.233421567,10.4360024,10.39992619,10.57940611,8.349033339
"Korea, Dem. People? Rep.",PRK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,38.45306514,38.35749164,38.16205775,39.09471427,38.89336879,32.00745162
